"Date","sigma_hat"
2000-01-14,37.4170607617718
2000-01-21,36.4854263505734
2000-01-28,37.8356014904566
2000-02-04,38.6549488973395
2000-02-11,33.1468649724575
2000-02-18,32.9751533684546
2000-02-25,33.8162254848816
2000-03-03,33.8347726477783
2000-03-10,33.8860280424319
2000-03-17,33.3125535191547
2000-03-24,33.7455458878886
2000-03-31,31.6237235944389
2000-04-07,32.4016817834605
2000-04-14,34.4553096012947
2000-04-21,28.4522907564434
2000-04-28,29.1351503621801
2000-05-05,29.0757979488874
2000-05-12,29.0214262714743
2000-05-19,28.9323236152785
2000-05-26,23.6239334749655
2000-06-02,24.5609650172124
2000-06-09,26.8349489508274
2000-06-16,25.7230774856497
2000-06-23,20.2875302024328
2000-06-30,21.4300045612148
2000-07-07,22.6746253914542
2000-07-14,23.4452446468257
2000-07-21,21.6205957443314
2000-07-28,21.8421672788268
2000-08-04,18.2253043282206
2000-08-11,18.6140268662124
2000-08-18,20.3783527867588
2000-08-25,20.6944112123828
2000-09-01,19.2908851472207
2000-09-08,19.2699138579395
2000-09-15,19.0966889073406
2000-09-22,19.5268115259504
2000-09-29,21.1543185310717
2000-10-06,22.1817174289608
2000-10-13,19.7221538509881
2000-10-20,22.3946278674612
2000-10-27,24.0214619724575
2000-11-03,22.4073630098166
2000-11-10,24.8374255763907
2000-11-17,26.0780086403677
2000-11-24,23.6877517301747
2000-12-01,25.5843093578054
2000-12-08,26.6421665356284
2000-12-15,27.525861197363
2000-12-22,28.6551865938778
2000-12-29,28.2503377329155
2001-01-05,29.8786618056075
2001-01-12,31.1704999187815
2001-01-19,31.6206388757845
2001-01-26,28.0995409524469
2001-02-02,27.1513931565549
2001-02-09,27.5220392949697
2001-02-16,23.9716657676242
2001-02-23,23.696691802076
2001-03-02,25.9833064360054
2001-03-09,25.6175893932766
2001-03-16,26.1691223626595
2001-03-23,28.9068744110596
2001-03-30,31.0905967339046
2001-04-06,34.2623971831428
2001-04-13,33.2471834619219
2001-04-20,34.5706151219343
2001-04-27,31.2085210207506
2001-05-04,31.923156391465
2001-05-11,31.862429670931
2001-05-18,32.3910162110616
2001-05-25,31.1202290404727
2001-06-01,31.1355336000117
2001-06-08,30.6922519486949
2001-06-15,29.4834345810387
2001-06-22,30.6548734476661
2001-06-29,26.791191432898
2001-07-06,24.0063313418121
2001-07-13,25.880745871623
2001-07-20,26.6071829651842
2001-07-27,27.873004120415
2001-08-03,28.0953831847676
2001-08-10,29.1291942819038
2001-08-17,30.6871218333221
2001-08-24,27.9285026305829
2001-08-31,29.8980631704608
2001-09-07,30.6885366453322
2001-09-14,33.8995857341406
2001-09-21,38.9887621788342
2001-09-28,44.4949677372747
2001-10-05,50.5102964335452
2001-10-12,45.9713182098359
2001-10-19,46.8035671874115
2001-10-26,47.7748754770655
2001-11-02,50.4493339094187
2001-11-09,50.3699393497467
2001-11-16,52.049178687258
2001-11-23,53.6490536234993
2001-11-30,50.6807536434656
2001-12-07,51.2926669632726
2001-12-14,52.3594504968691
2001-12-21,54.3919668997065
2001-12-28,52.2180288088845
2002-01-04,51.7018096391356
2002-01-11,49.8307511123294
2002-01-18,49.2837244100701
2002-01-25,46.2118960810692
2002-02-01,45.8317956441748
2002-02-08,36.1570439741919
2002-02-15,38.7236780350887
2002-02-22,38.5918139937134
2002-03-01,39.6762298035034
2002-03-08,42.2676592515957
2002-03-15,42.9510638971371
2002-03-22,40.9362751293188
2002-03-29,39.7317350503918
2002-04-05,38.7518414686571
2002-04-12,37.7316183896283
2002-04-19,33.6021200105083
2002-04-26,35.6217410005105
2002-05-03,36.3193349413182
2002-05-10,35.3187686228251
2002-05-17,34.4925069515708
2002-05-24,34.6811946269555
2002-05-31,35.7081907984364
2002-06-07,32.8815317368596
2002-06-14,35.0088566398386
2002-06-21,37.5720591903257
2002-06-28,36.8690858980176
2002-07-05,36.7542651752737
2002-07-12,34.4544592889617
2002-07-19,38.4060895172
2002-07-26,42.1162569051581
2002-08-02,45.8835814167735
2002-08-09,43.4513882431403
2002-08-16,47.4339417257488
2002-08-23,45.2561690623687
2002-08-30,47.5447110184007
2002-09-06,48.6133268883708
2002-09-13,51.888621170098
2002-09-20,52.6444081136808
2002-09-27,57.5699714280108
2002-10-04,59.9137000865035
2002-10-11,65.5747540134653
2002-10-18,69.0635105472205
2002-10-25,73.7943016592219
2002-11-01,73.2191573305849
2002-11-08,70.983149082291
2002-11-15,57.1684628329507
2002-11-22,58.1624155500185
2002-11-29,60.6226147546122
2002-12-06,58.5876942801827
2002-12-13,60.7295145018666
2002-12-20,61.9229584905974
2002-12-27,60.1651537947469
2003-01-03,60.0899625647768
2003-01-10,62.584646323163
2003-01-17,45.9406205048188
2003-01-24,47.4958431800925
2003-01-31,50.8062067249577
2003-02-07,49.2031145128701
2003-02-14,49.8944486808737
2003-02-21,51.5479713855995
2003-02-28,39.4108825878516
2003-03-07,39.818305344348
2003-03-14,43.2428395471302
2003-03-21,46.1717522060892
2003-03-28,50.1243973912499
2003-04-04,53.188331632543
2003-04-11,55.7095186621402
2003-04-18,54.3081896275457
2003-04-25,54.8987522351581
2003-05-02,48.643172129408
2003-05-09,48.2255670832067
2003-05-16,43.5325689484991
2003-05-23,43.8878054210054
2003-05-30,45.6040266559267
2003-06-06,46.7992652129747
2003-06-13,48.4308127831609
2003-06-20,47.6380201664592
2003-06-27,47.6656387345472
2003-07-04,46.9200618445871
2003-07-11,45.2886432480298
2003-07-18,44.9906130937808
2003-07-25,41.1018921569081
2003-08-01,38.8483713429817
