"Date","sigma_hat"
2000-01-14,36.4247681160455
2000-01-21,35.6151422223334
2000-01-28,36.5614888093239
2000-02-04,37.0200782654398
2000-02-11,32.5399734829128
2000-02-18,32.2483978859865
2000-02-25,32.6928503879527
2000-03-03,32.5919984893008
2000-03-10,32.5800001667649
2000-03-17,32.0946354602205
2000-03-24,32.3587129797793
2000-03-31,30.6926821206635
2000-04-07,31.3666290005137
2000-04-14,33.0096241060629
2000-04-21,28.3304445266963
2000-04-28,28.8892127312978
2000-05-05,28.8242394133168
2000-05-12,28.7513175814473
2000-05-19,28.6733289912324
2000-05-26,24.3693188255614
2000-06-02,25.2051928511902
2000-06-09,27.2250923445289
2000-06-16,26.4959559098612
2000-06-23,22.012048403491
2000-06-30,23.1643741316014
2000-07-07,24.3946922161107
2000-07-14,25.2021963288352
2000-07-21,23.7294342486062
2000-07-28,24.0383395309475
2000-08-04,20.8314071248971
2000-08-11,21.2312766052213
2000-08-18,22.8925986578466
2000-08-25,23.2475088217656
2000-09-01,22.0485920790258
2000-09-08,22.1098770331071
2000-09-15,22.0170760895061
2000-09-22,22.4584917161401
2000-09-29,23.9583384309144
2000-10-06,24.90482687066
2000-10-13,22.6409241880952
2000-10-20,25.019117160636
2000-10-27,26.4148731918661
2000-11-03,24.9311308308604
2000-11-10,27.071386307324
2000-11-17,28.1633786038893
2000-11-24,26.0131912283036
2000-12-01,27.6234947210282
2000-12-08,28.487585153479
2000-12-15,29.2474675069519
2000-12-22,30.2320719788813
2000-12-29,29.8663214049323
2001-01-05,31.2338724180012
2001-01-12,32.2851529131012
2001-01-19,32.6304441688271
2001-01-26,29.6663882432209
2001-02-02,28.8663122928338
2001-02-09,29.2284313491203
2001-02-16,26.2306035003668
2001-02-23,26.0755247570136
2001-03-02,28.1383019204697
2001-03-09,27.8605796137638
2001-03-16,28.4173573810248
2001-03-23,30.7575191787704
2001-03-30,32.540154844491
2001-04-06,35.1263360091324
2001-04-13,34.2098230136527
2001-04-20,35.3579897415822
2001-04-27,32.5677159151724
2001-05-04,33.2259030675399
2001-05-11,33.2355910507909
2001-05-18,33.7250176083352
2001-05-25,32.6816041746335
2001-06-01,32.7364951201369
2001-06-08,32.3927772757724
2001-06-15,31.4186583043985
2001-06-22,32.4344471438957
2001-06-29,29.1408510559096
2001-07-06,26.7354749770861
2001-07-13,28.4772124778235
2001-07-20,29.1229846529036
2001-07-27,30.2529433847098
2001-08-03,30.4631724113041
2001-08-10,31.4419292000151
2001-08-17,32.8328691907715
2001-08-24,30.453481253083
2001-08-31,32.1993332482494
2001-09-07,32.8965225648696
2001-09-14,35.5534876403423
2001-09-21,39.2705212798908
2001-09-28,43.2499015190581
2001-10-05,47.621083453662
2001-10-12,44.0160961511893
2001-10-19,44.5362761832262
2001-10-26,45.0059162546898
2001-11-02,46.8381362918069
2001-11-09,46.5882878827007
2001-11-16,47.7676299947394
2001-11-23,48.8626360019414
2001-11-30,46.7587959798931
2001-12-07,47.3406435982156
2001-12-14,48.3097614565504
2001-12-21,49.922492766269
2001-12-28,48.4163783006021
2002-01-04,48.1306861476769
2002-01-11,46.7082912492048
2002-01-18,46.2716191559033
2002-01-25,43.8781297785809
2002-02-01,43.608181174234
2002-02-08,36.0609242592548
2002-02-15,38.0735966795092
2002-02-22,37.9728498337063
2002-03-01,38.8054935342327
2002-03-08,40.8566474152917
2002-03-15,41.4189702208272
2002-03-22,39.8771002124754
2002-03-29,39.0099303459567
2002-04-05,38.3352931218329
2002-04-12,37.5898890496218
2002-04-19,34.2778617306586
2002-04-26,35.9938931128426
2002-05-03,36.605920423605
2002-05-10,35.8209695878576
2002-05-17,35.164737213876
2002-05-24,35.343391522149
2002-05-31,36.2013001564836
2002-06-07,33.8882814567468
2002-06-14,35.5910272263997
2002-06-21,37.5831241756717
2002-06-28,36.8565411957764
2002-07-05,36.6142471466535
2002-07-12,34.5821858243556
2002-07-19,37.5164796209421
2002-07-26,40.0056408563237
2002-08-02,42.3365423279499
2002-08-09,40.2737789958606
2002-08-16,42.8719598295005
2002-08-23,41.0770233964938
2002-08-30,42.7786191769306
2002-09-06,43.4632436344198
2002-09-13,45.4891161961712
2002-09-20,45.8141071207519
2002-09-27,48.9001682562956
2002-10-04,50.1466198869256
2002-10-11,53.6011988069151
2002-10-18,55.737051092505
2002-10-25,58.7571752778747
2002-11-01,58.305261483604
2002-11-08,56.9524005054691
2002-11-15,47.9073022917252
2002-11-22,48.6515349341656
2002-11-29,50.5183432359729
2002-12-06,49.3331759845982
2002-12-13,50.7894656447523
2002-12-20,51.4895766955297
2002-12-27,50.2400927497925
2003-01-03,50.0819574212257
2003-01-10,51.6379205839571
2003-01-17,40.1945612477417
2003-01-24,41.3199906031817
2003-01-31,43.5519850075663
2003-02-07,42.3203954261852
2003-02-14,42.7654905079636
2003-02-21,43.8750582828001
2003-02-28,35.333877978324
2003-03-07,35.5507410040138
2003-03-14,37.9936772984221
2003-03-21,40.0170000586403
2003-03-28,42.4968364111787
2003-04-04,44.3544264774114
2003-04-11,45.8872186709383
2003-04-18,44.8836364923017
2003-04-25,45.3351289299113
2003-05-02,41.1844811325809
2003-05-09,40.9728258066246
2003-05-16,37.8123339488052
2003-05-23,38.1827791786175
2003-05-30,39.4997106713055
2003-06-06,40.4910888055237
2003-06-13,41.7550775181384
2003-06-20,41.3235037633497
2003-06-27,41.4217024153387
2003-07-04,40.9166989457742
2003-07-11,39.7443576146738
2003-07-18,39.5158668621997
2003-07-25,36.6765329070234
2003-08-01,35.0033497946998
