"Date","sigma_hat"
2000-01-14,36.5774408633723
2000-01-21,35.5321029631832
2000-01-28,36.832780488975
2000-02-04,37.5026424376305
2000-02-11,31.7072690216807
2000-02-18,31.4824834272419
2000-02-25,32.2336834177491
2000-03-03,32.2127543273924
2000-03-10,32.2706566994229
2000-03-17,31.7059458395
2000-03-24,32.1416501624614
2000-03-31,30.032476546791
2000-04-07,30.9472311171571
2000-04-14,33.1298816523569
2000-04-21,27.0939621807519
2000-04-28,27.910701903693
2000-05-05,27.9267993974844
2000-05-12,27.9307335582077
2000-05-19,27.9105249818008
2000-05-26,22.5912186227988
2000-06-02,23.742666057141
2000-06-09,26.3307260777542
2000-06-16,25.389528087527
2000-06-23,19.9072417280771
2000-06-30,21.3771210638726
2000-07-07,22.9383630090559
2000-07-14,23.9634909703321
2000-07-21,22.1405895142292
2000-07-28,22.551832872412
2000-08-04,18.7185513660387
2000-08-11,19.2984103190908
2000-08-18,21.3952383179223
2000-08-25,21.8625767500466
2000-09-01,20.4028347817691
2000-09-08,20.5104355895036
2000-09-15,20.4289943836416
2000-09-22,21.0082119917696
2000-09-29,22.9172374025437
2000-10-06,24.1142942526202
2000-10-13,21.2679135819266
2000-10-20,24.3256779839892
2000-10-27,26.130989394274
2000-11-03,24.1883637714806
2000-11-10,26.944005592814
2000-11-17,28.3025278732639
2000-11-24,25.4371129140357
2000-12-01,27.5234712884775
2000-12-08,28.6160482368366
2000-12-15,29.5356498290908
2000-12-22,30.7332550662505
2000-12-29,30.1401931832768
2001-01-05,31.8721831443999
2001-01-12,33.1741647586512
2001-01-19,33.5043531003107
2001-01-26,29.4348982928959
2001-02-02,28.3459383156273
2001-02-09,28.7708255282742
2001-02-16,24.8976857995249
2001-02-23,24.7116284788752
2001-03-02,27.3402309194954
2001-03-09,26.9645784499039
2001-03-16,27.6421438571713
2001-03-23,30.67837456808
2001-03-30,33.0040792876289
2001-04-06,36.4023540109769
2001-04-13,35.0282258050319
2001-04-20,36.412427783872
2001-04-27,32.5404448427568
2001-05-04,33.3154099825288
2001-05-11,33.2206778291392
2001-05-18,33.7700801281607
2001-05-25,32.3159806544832
2001-06-01,32.3223774477618
2001-06-08,31.8231046622741
2001-06-15,30.5194238144606
2001-06-22,31.8199694775888
2001-06-29,27.610156290001
2001-07-06,24.6846580738826
2001-07-13,26.8979854766049
2001-07-20,27.7668278220184
2001-07-27,29.230739479854
2001-08-03,29.5062764832279
2001-08-10,30.7240440818576
2001-08-17,32.4812086015625
2001-08-24,29.3704646797539
2001-08-31,31.60757200866
2001-09-07,32.474364008154
2001-09-14,35.9621621802014
2001-09-21,41.137921609869
2001-09-28,46.7116002035871
2001-10-05,52.8042496504165
2001-10-12,47.2671604443117
2001-10-19,47.7771740941686
2001-10-26,48.3073966803788
2001-11-02,50.7188444425241
2001-11-09,50.1554996071085
2001-11-16,51.5750628690043
2001-11-23,52.8737000062965
2001-11-30,49.5608448278143
2001-12-07,50.0922354700458
2001-12-14,51.1388605705696
2001-12-21,53.1131996506686
2001-12-28,50.7274775401885
2002-01-04,50.1095313647512
2002-01-11,48.0349883084259
2002-01-18,47.3626716314032
2002-01-25,44.1318574788137
2002-02-01,43.7615435163938
2002-02-08,34.0801835578858
2002-02-15,36.8006192157063
2002-02-22,36.7835361491752
2002-03-01,37.9670328986528
2002-03-08,40.6925535282548
2002-03-15,41.4289212982039
2002-03-22,39.3978399396943
2002-03-29,38.2678881262782
2002-04-05,37.3979558508236
2002-04-12,36.4730317973694
2002-04-19,32.3617067861531
2002-04-26,34.6221654376633
2002-05-03,35.4707026828178
2002-05-10,34.5326873208164
2002-05-17,33.7768086368074
2002-05-24,34.0806603967987
2002-05-31,35.2445734671631
2002-06-07,32.3576593285834
2002-06-14,34.6416548004232
2002-06-21,37.3154910089356
2002-06-28,36.4561919598115
2002-07-05,36.248073603766
2002-07-12,33.7460627760087
2002-07-19,37.7599842281049
2002-07-26,41.3075870438375
2002-08-02,44.7256648219095
2002-08-09,41.8918896457304
2002-08-16,45.6055490366013
2002-08-23,43.094588669642
2002-08-30,45.3444932658654
2002-09-06,46.221649672468
2002-09-13,49.125387699019
2002-09-20,49.5197090951228
2002-09-27,53.9548832239827
2002-10-04,55.7148191912175
2002-10-11,60.7149914202655
2002-10-18,63.62186295708
2002-10-25,67.7564308485739
2002-11-01,66.6247988217193
2002-11-08,64.1286448756967
2002-11-15,50.7854853466812
2002-11-22,51.7639023585988
2002-11-29,54.2104220207928
2002-12-06,52.3351186108094
2002-12-13,54.3074351127978
2002-12-20,55.2620860615891
2002-12-27,53.4550988468548
2003-01-03,53.2519271914345
2003-01-10,55.4578261246269
2003-01-17,39.8716893813531
2003-01-24,41.5247498130559
2003-01-31,44.7072340231911
2003-02-07,43.215052183914
2003-02-14,43.944101480925
2003-02-21,45.5508460792135
2003-02-28,34.3116079311601
2003-03-07,34.8563121794618
2003-03-14,38.2545687341229
2003-03-21,41.1193829453918
2003-03-28,44.7129069768587
2003-04-04,47.4101983081864
2003-04-11,49.5903646448453
2003-04-18,48.0890064533257
2003-04-25,48.5979075816532
2003-05-02,42.7217893492117
2003-05-09,42.421902011177
2003-05-16,38.1626445674688
2003-05-23,38.699203421556
2003-05-30,40.5035043016748
2003-06-06,41.8136439100138
2003-06-13,43.4850013924855
2003-06-20,42.809721765214
2003-06-27,42.8881920717586
2003-07-04,42.1771859700291
2003-07-11,40.60647073323
2003-07-18,40.3317796480875
2003-07-25,36.6233215258308
2003-08-01,34.5525015251176
2003-08-08,34.8224472505484
